"counter__count","results__|","results__|__goal_probs_0","results__|__goal_probs_1","results__|__goal_probs_2","results__|__goal_probs_3","results__|__goal_probs_4","results__|__reward_score","results__|__time_spent","results__|__timestep","results__|__true_goal_probs","results__a"
"","1607115037759_problem_4_4","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.5","0.5","0","0","0","0.7","0","2","0.5",""
"","","0.4166666666666667","0.4166666666666667","0","0","0.16666666666666666","1.1166666666666667","0","3","0.4166666666666667",""
"","","0.4166666666666667","0.4166666666666667","0","0","0.16666666666666666","1.5333333333333334","0","4","0.4166666666666667",""
"","","0.5","0.5","0","0","0","2.033333333333333","0","5","0.5",""
"","","0.5555555555555556","0.4444444444444444","0","0","0","2.5888888888888886","0","6","0.5555555555555556",""
"","","1","0","0","0","0","3.5888888888888886","0","7","1",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","11.849","1","0.2",""
"","","0","0","0","0.5","0.5","0.7","28.364","2","0.5",""
"","","0","0","0","0","1","1.7","5.381","3","1",""
"","","0","0","0","0","1","2.7","4.296","4","1",""
"","1607115037759_tutorial","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.5","0.5","0","0","0","0.7","0","2","0.5",""
"","","0.4166666666666667","0.4166666666666667","0","0","0.16666666666666666","1.1166666666666667","0","3","0.4166666666666667",""
"","","0.4166666666666667","0.4166666666666667","0","0","0.16666666666666666","1.5333333333333334","0","4","0.4166666666666667",""
"","","0.5","0.5","0","0","0","2.033333333333333","0","5","0.5",""
"","","0.5555555555555556","0.4444444444444444","0","0","0","2.5888888888888886","0","6","0.5555555555555556",""
"","","1","0","0","0","0","3.5888888888888886","0","7","1",""
"","1607115041322_problem_1_1","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.4375","0.1875","0.125","0.125","0.125","0.6375","0","2","0.4375",""
"","","0.4375","0.1875","0.125","0.125","0.125","1.075","0","3","0.4375",""
"","","0.4375","0.1875","0.125","0.125","0.125","1.5125","0","4","0.4375",""
"","","0.5263157894736842","0.15789473684210525","0.10526315789473684","0.10526315789473684","0.10526315789473684","2.0388157894736842","0","5","0.5263157894736842",""
"","","0.5263157894736842","0.15789473684210525","0.10526315789473684","0.10526315789473684","0.10526315789473684","2.5651315789473683","0","6","0.5263157894736842",""
"","","1","0","0","0","0","3.5651315789473683","0","7","1",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","17.729","1","0.2",""
"","","0.11764705882352941","0.11764705882352941","0.5294117647058824","0.11764705882352941","0.11764705882352941","0.3176470588235294","21.193","2","0.11764705882352941",""
"","","0.15384615384615385","0.3076923076923077","0.15384615384615385","0.23076923076923078","0.15384615384615385","0.47149321266968325","22.704","3","0.15384615384615385",""
"","","0.16666666666666666","0.125","0.16666666666666666","0.375","0.16666666666666666","0.6381598793363499","20.266","4","0.16666666666666666",""
"","","0.18181818181818182","0.36363636363636365","0.18181818181818182","0.09090909090909091","0.18181818181818182","0.8199780611545318","17.261","5","0.18181818181818182",""
"","","0.5","0.5","0","0","0","1.3199780611545318","10.897","6","0.5",""
"","","0.5","0.5","0","0","0","1.8199780611545318","7.271","7","0.5",""
"","1607115041322_problem_2_1","0.2","0.2","0.2","0.2","0.2","0.2","9.389","1","0.2",""
"","","0.18518518518518517","0.18518518518518517","0.18518518518518517","0.18518518518518517","0.25925925925925924","0.3851851851851852","13.381","2","0.18518518518518517",""
"","","0.043478260869565216","0.21739130434782608","0.21739130434782608","0.21739130434782608","0.30434782608695654","0.6025764895330112","14.386","3","0.21739130434782608",""
"","","0.03571428571428571","0.35714285714285715","0.17857142857142858","0.17857142857142858","0.25","0.9597193466758684","8.866","4","0.35714285714285715",""
"","","0.03571428571428571","0.35714285714285715","0.17857142857142858","0.17857142857142858","0.25","1.3168622038187257","14.946","5","0.35714285714285715",""
"","","0.03571428571428571","0.35714285714285715","0.17857142857142858","0.17857142857142858","0.25","1.6740050609615829","19.909","6","0.35714285714285715",""
"","","0.03571428571428571","0.35714285714285715","0.17857142857142858","0.17857142857142858","0.25","2.03114791810444","6.462","7","0.35714285714285715",""
"","","0","1","0","0","0","3.03114791810444","10.256","8","1",""
"","","0","1","0","0","0","4.031147918104439","3.96","9","1",""
"","","0","1","0","0","0","5.031147918104439","4.108","10","1",""
"","","0","1","0","0","0","6.031147918104439","3.836","11","1",""
"","","0","1","0","0","0","7.031147918104439","4.313","12","1",""
"","","0","1","0","0","0","8.03114791810444","10.386","13","1",""
"","1607115041322_problem_3_4","0.2","0.2","0.2","0.2","0.2","0.2","40.731","1","0.2",""
"","","0.23809523809523808","0.047619047619047616","0.047619047619047616","0.42857142857142855","0.23809523809523808","0.6285714285714286","23.677","2","0.42857142857142855",""
"","","0.23809523809523808","0.047619047619047616","0.047619047619047616","0.42857142857142855","0.23809523809523808","1.0571428571428572","7.533","3","0.42857142857142855",""
"","","0.23809523809523808","0.047619047619047616","0.047619047619047616","0.42857142857142855","0.23809523809523808","1.4857142857142858","10.425","4","0.42857142857142855",""
"","","0","0.0625","0.0625","0.5625","0.3125","2.0482142857142858","13.708","5","0.5625",""
"","","0","0.0625","0.0625","0.5625","0.3125","2.6107142857142858","10.498","6","0.5625",""
"","","0","0","0","1","0","3.6107142857142858","11.23","7","1",""
"","","0","0","0","1","0","4.610714285714286","5.27","8","1",""
"","","0","0","0","1","0","5.610714285714286","3.865","9","1",""
"","","0","0","0","1","0","6.610714285714286","3.795","10","1",""
"","1607115041322_tutorial","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.4375","0.1875","0.125","0.125","0.125","0.6375","0","2","0.4375",""
"","","0.4375","0.1875","0.125","0.125","0.125","1.075","0","3","0.4375",""
"","","0.4375","0.1875","0.125","0.125","0.125","1.5125","0","4","0.4375",""
"","","0.5263157894736842","0.15789473684210525","0.10526315789473684","0.10526315789473684","0.10526315789473684","2.0388157894736842","0","5","0.5263157894736842",""
"","","0.5263157894736842","0.15789473684210525","0.10526315789473684","0.10526315789473684","0.10526315789473684","2.5651315789473683","0","6","0.5263157894736842",""
"","","1","0","0","0","0","3.5651315789473683","0","7","1",""
"","1607115046520_problem_1_4","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.42105263157894735","0.42105263157894735","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.6210526315789473","0","2","0.42105263157894735",""
"","","0.07692307692307693","0.07692307692307693","0.6923076923076923","0.07692307692307693","0.07692307692307693","0.6979757085020242","0","3","0.07692307692307693",""
"","","0.07692307692307693","0.07692307692307693","0.6923076923076923","0.07692307692307693","0.07692307692307693","0.774898785425101","0","4","0.07692307692307693",""
"","","0.5","0.5","0","0","0","1.274898785425101","0","5","0.5",""
"","","0.5","0.5","0","0","0","1.774898785425101","0","6","0.5",""
"","","0.9090909090909091","0.09090909090909091","0","0","0","2.68398969451601","0","7","0.9090909090909091",""
"","","0.2727272727272727","0.15151515151515152","0.2727272727272727","0.15151515151515152","0.15151515151515152","0.2727272727272727","13.255","1","0.2727272727272727",""
"","","0.25","0.2222222222222222","0.25","0.1388888888888889","0.1388888888888889","0.5227272727272727","13.181","2","0.25",""
"","","0.25","0.2222222222222222","0.25","0.1388888888888889","0.1388888888888889","0.7727272727272727","9.464","3","0.25",""
"","","0.12","0.12","0.36","0.2","0.2","1.1327272727272728","12.324","4","0.36",""
"","","0","0","1","0","0","2.132727272727273","10.728","5","1",""
"","","0","0","1","0","0","3.132727272727273","13.19","6","1",""
"","1607115046520_problem_3_2","0.2","0.2","0.2","0.2","0.2","0.2","8.715","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","11.334","2","0.2",""
"","","0.17857142857142858","0.17857142857142858","0.17857142857142858","0.2857142857142857","0.17857142857142858","0.5785714285714286","23.915","3","0.17857142857142858",""
"","","0.17857142857142858","0.17857142857142858","0.17857142857142858","0.2857142857142857","0.17857142857142858","0.7571428571428572","14.352","4","0.17857142857142858",""
